filename, language, JavaScript, CSS, JSON, Markdown, HTML, comment, blank, total
c:\Users\user\Programming\Projects\todo_list\README.md, Markdown, 0, 0, 0, 37, 0, 0, 32, 69
c:\Users\user\Programming\Projects\todo_list\package-lock.json, JSON, 0, 0, 14115, 0, 0, 0, 1, 14116
c:\Users\user\Programming\Projects\todo_list\package.json, JSON, 0, 0, 40, 0, 0, 0, 1, 41
c:\Users\user\Programming\Projects\todo_list\public\index.html, HTML, 0, 0, 0, 0, 17, 0, 2, 19
c:\Users\user\Programming\Projects\todo_list\src\App.js, JavaScript, 74, 0, 0, 0, 0, 0, 12, 86
c:\Users\user\Programming\Projects\todo_list\src\Modal\Modal.css, CSS, 0, 36, 0, 0, 0, 0, 2, 38
c:\Users\user\Programming\Projects\todo_list\src\Modal\Modal.js, JavaScript, 24, 0, 0, 0, 0, 0, 4, 28
c:\Users\user\Programming\Projects\todo_list\src\Mode.css, CSS, 0, 110, 0, 0, 0, 3, 14, 127
c:\Users\user\Programming\Projects\todo_list\src\Mode.js, JavaScript, 42, 0, 0, 0, 0, 0, 3, 45
c:\Users\user\Programming\Projects\todo_list\src\context.js, JavaScript, 3, 0, 0, 0, 0, 0, 3, 6
c:\Users\user\Programming\Projects\todo_list\src\index.css, CSS, 0, 128, 0, 0, 0, 0, 8, 136
c:\Users\user\Programming\Projects\todo_list\src\index.js, JavaScript, 7, 0, 0, 0, 0, 3, 3, 13
c:\Users\user\Programming\Projects\todo_list\src\serviceWorker.js, JavaScript, 94, 0, 0, 0, 0, 31, 13, 138
c:\Users\user\Programming\Projects\todo_list\src\todo\AddTodo.js, JavaScript, 29, 0, 0, 0, 0, 0, 6, 35
c:\Users\user\Programming\Projects\todo_list\src\todo\TodoItem.js, JavaScript, 53, 0, 0, 0, 0, 0, 6, 59
c:\Users\user\Programming\Projects\todo_list\src\todo\TodoList.js, JavaScript, 26, 0, 0, 0, 0, 0, 3, 29
Total, -, 352, 274, 14155, 37, 17, 37, 113, 14985
